iter	Logloss
0	0.6643640814
1	0.6396508638
2	0.6117520515
3	0.5901864578
4	0.5717547819
5	0.5556308824
6	0.5408958663
7	0.5287674794
8	0.5163840264
9	0.5022978362
10	0.4932662704
11	0.4855093561
12	0.4779522727
13	0.4686081127
14	0.4636806692
15	0.4581194541
16	0.453035286
17	0.4479057107
18	0.442798441
19	0.4392168942
20	0.4347475806
21	0.4309954443
22	0.4279315987
23	0.4238550444
24	0.4215278698
25	0.4189178938
26	0.4166288774
27	0.4136810436
28	0.4115640759
29	0.4093749634
30	0.4067890416
31	0.4050589748
32	0.403354394
33	0.4011536162
34	0.3977799364
35	0.3961526249
36	0.3949451824
37	0.3925680403
38	0.3912876226
39	0.3898392245
40	0.3888527078
41	0.3878200681
42	0.3866604725
43	0.3852676587
44	0.3843722319
45	0.3831755502
46	0.3817792912
47	0.380759912
48	0.3797946856
49	0.3790219959
50	0.3773433938
51	0.3759879664
52	0.3749580816
53	0.3733671452
54	0.3723510169
55	0.3715003628
56	0.3706284378
57	0.3694898075
58	0.3686337365
59	0.3680965717
60	0.3673466313
61	0.3665140502
62	0.3656882397
63	0.3649774886
64	0.3639908375
65	0.362368605
66	0.3617972594
67	0.361020097
68	0.3604245807
69	0.3596438569
70	0.3589004231
71	0.3578617186
72	0.3572461757
73	0.3568981128
74	0.3562793486
75	0.3555853876
76	0.3552078892
77	0.354590371
78	0.3538480544
79	0.3533324387
80	0.3529794475
81	0.3525423844
82	0.3520209061
83	0.3516030719
84	0.3512377331
85	0.3507908015
86	0.3498387991
87	0.3494094825
88	0.3490734217
89	0.3478850947
90	0.347344952
91	0.3467686222
92	0.3463154214
93	0.3456380746
94	0.3453056281
95	0.3449450703
96	0.3443156453
97	0.343763835
98	0.34328034
99	0.3428970996
100	0.3427198547
101	0.3422663656
102	0.3416808861
103	0.341399239
104	0.3409345792
105	0.3403470635
106	0.3398770141
107	0.3394407367
108	0.338965729
109	0.3383316564
110	0.3378206472
111	0.337388348
112	0.3367190572
113	0.3362357186
114	0.3359498464
115	0.3353534653
116	0.3345237726
117	0.3339788277
118	0.3337715696
119	0.3333001421
120	0.3329487644
121	0.3321788263
122	0.3317680426
123	0.331371985
124	0.3311167138
125	0.3306470172
126	0.3304056968
127	0.3301439478
128	0.3298766128
129	0.3295881894
130	0.3290982731
131	0.3285527845
132	0.3283159577
133	0.327903839
134	0.3275432788
135	0.3272796092
136	0.3269726769
137	0.3265555304
138	0.3260350327
139	0.3257415405
140	0.325273452
141	0.3250651395
142	0.3244840645
143	0.324131051
144	0.3237970819
145	0.3234660178
146	0.3231383223
147	0.3228377693
148	0.3223299864
149	0.3219887874
150	0.3217532193
151	0.3213722169
152	0.3210043821
153	0.320841123
154	0.3204738166
155	0.3200305608
156	0.3197803349
157	0.3193592936
158	0.3190984343
159	0.3188113155
160	0.3184027164
161	0.3181312466
162	0.3178597212
163	0.3175940863
164	0.31731911
165	0.316928742
166	0.3166273508
167	0.3164916632
168	0.3163124119
169	0.3158197109
170	0.3155937142
171	0.3152582446
172	0.3149063876
173	0.3146550458
174	0.3142676955
175	0.3140060739
176	0.3137268457
177	0.3134837733
178	0.3131188109
179	0.3129256636
180	0.3127055776
181	0.3124346367
182	0.3121821631
183	0.3117352084
184	0.3114125349
185	0.3109152719
186	0.3105334111
187	0.3102086776
188	0.3098947052
189	0.3094273818
190	0.3091012697
191	0.3088748748
192	0.3086999408
193	0.3083252806
194	0.3080902253
195	0.3079338979
196	0.307444217
197	0.3067894624
198	0.3064804652
199	0.3060313592
